original_dosc;score
а я например только радуюсь когда они не лезут мне помогать в выборе.  насчет египетских продавцов я не согласна.... нахальные  некультурные и т.д.  поэтому я в белорусском магазине посылаю всех подлетающих продавцов сразу!и у нас не здороваются в магазинах  в отличие от всего мира  заметил?  я до сих пор помню  как в вильнюсе в озасе продавец узнав  что мне нужно что-то прилично-вечерне-кэжуальное для знакомства с родителями моей на тот момент еще девушки на юбилее ее отца  очень быстро подобрал полный комплект из джинсов  рубашки  пиджака и даже платка в нагрудный карман. и более того  пока мы расплачивались  он куда-то сходил и вручил нам бутылку вина поскольку на его взгляд мы очень красивая пара.:-) вот это сервис!:-)  у меня самый лучший пример  когда-то давно  - попытка купить приличный диммер. в минске(!)  в уручье(!!)  в фирменной леграндовской точке(!!!).;0
Гэта што за хмырь?  угу у католиков бабла побольше будет чем у православных  вот и актер на верх всплыл более талантливо изображающий искренностьЗвезд Голливуда обычно интересней смотреть чем звезд Мосфильма  бюджет решает.  да ну ребе  Кирилл внешне как раз безупречен  а нового папу я еще не видел (с момента избрания телек пока не включал)  Вы не хотите это знать.  Везде люди  и люди разные.От того  что программирование - это мудачество  не значит  что все программисты - мудаки.  новый имидж же!  Поляки вспоминая Кароля Юзефа Войтылу недоумевают над вашим вопросом.  Во времена Палпатина XVI у них бабла было примерно столько же - а сравните их между собой.  не совсем так. У них отбор более существенный. Православный поп с самого начала жрет как не в себя  отращивает пузо  плодит от своей попадьи десять поросят и торгуется на рынке с Балдой при большом скоплении народа.;-1
апитализм при всех недостатках более живуч и помирать не собирается пока.Капитализм помирает каждые 70 лет  и для возрждения ему нужна хорошая мировая война и переформатирование финасовой системы и передел колоний.     или превращается в Великую ДепрессиюОбращаю Ваше внимание  что ВД не положила конец капитализму  в отличие от социалистической перестройки и гласности. :))Никакой кризис при капитализме не достигал катастрофических глубин социалистических кризисов  как при установлении социализма (Гражданская война и коллективизация)  так и в течении (постоянные  временные трудности )  так и при демонтаже - последнем кризисе.  Какой капиталистический кризис порождал такой спад производства  как кризис социализма?И наоборот  именно капиталистические элементы НЭПа в СССР  сохранение мелкого бизнеса в Югославии и введение капиталистических отношений в Китае при сохранении командной роли компартии помогают справиться с социалистическими кризисами.  Может быть. вполне..  Эдакий двухтактный двигатель.  Социальная справедливость может быть установлена разными механизмами  в том числе и с сохранением рыночных отношений.  Это действительно так;0
Придумывает  возможно  и завлаб  а вот решение о даче денег на придумку - за руководителем  научной школы . Представим  что эксперимент завлаба задуман как опровержение данного научного направления  освященного авторитетом академика. Естественно  эксперимент не состоится за отсутвием средств - какой же здравомыслящий академик разрешит финансирование своего ниспровержения? А какой эксперимент состоится? Тот  который подтвердит железобетонную стойкость теории и самим своим фактом добавит  индексов цитирования .Ну и - с соответсвующим выхлопом во всех смыслах.  Выбирая между тем  кому верить  я безусловно выберу Ливанова.  и одни и вторые и третьи - в системе РАН находятся.;-1
Учебное заведение  как мне помнится  раньше учитывалось только в случае  если перед ним работал и поступал по профилю работы. Что-то такое было. Теперь  кажется - только чистый труд.  Вроде у меня в трудовой написано - учился там-то столько-то.  Там же пенсионные взносы не платились.   Но в общий стаж это шло?  К пенсии? Мне кажется  нет. Только те года  когда платились взносы  плюс срочная служба - там нет взносов  но года считаются  плюс сидение с детьми - там та же история. Так мне кажется.  А это - что больше нравится :-)))  Надо подумать :)  Работать  работать и работать!  3 недели 12часовой пятидневки утомляют  я похожа на добрую панду уже) Отдыхать  пора отдыхать!;-1
люди бегут за границу от  хорошей жизни .  дык литва свободная страна  а россия - несвободная. то что можно доверить государству в свободной стране  нельзя ни в коем случае позволять  нелегитимному и воровскому государству в россии. доверия им нет.  скажите это узбекам пачками ввозимыми в масквувдруг они не знают  дали обезьянкам в демократию поиграться - они себе и головы поотворачивали )  ну так там  как я сегодня где-то прочитал  чуть ли не треть страны за последние годы слиняла...  видать уже вопрос назрел и перезрел.  я бы ввел дополнительный бонус за подстрекательство к эммиграции отдельных креативных блоггеров.вдруг сработает?  демократично.   уродов с их  пора валить  я бы сажал...  как хорошо  олег  писать такую херню из какой-нибудь австрии!  главный подстрекатель у нас - власть  татьяна голикова выразила опасение  что ситуация в государственной медицине в следующем году может стать хуже. это связано с изменениями в финансировании  в том числе  федеральных медицинских центров  которые произойдут с 2014 годаоднако сегодня нынешний министр здравоохранения вероника скворцова фактически опровергла слова главы сп.;-2
Два волка Когда-то давно старик открыл своему внуку одну жизненную истину:- В каждом человеке идёт борьба  очень похожая на борьбу двух волков.Один волк представляет зло: зависть  ревность  страсть  сожаление  ярость  эгоизм  амбиции  ложь.Другой волк представляет добро: мир  любовь  надежду  истину  доброту и верность.Внук  тронутый до глубины души словами деда  задумался  а потом спросил:- А какой волк в конце побеждает?Старик улыбнулся и ответил:- А в конце побеждает вечный Голод.  1 темный  вот надо же написать такой скучный пост и заплатить за него  чтобы пихнуть в колонку  promo люди  ну пишите уже наконец-то что-нибудь интересное  Я получилась кентавром. А муж химерой). И могу точно сказать  что ни то  ни другое - совершенно не про нас).;0
еперь просто тупо включаете свою хуцпу.   Если вы - русские  то ваша нация вырождается)))  Хорошо  что русские есть. Плохо  что ебанутые позорят русских  выступая от их имени. В клетку.  Юрик пропустишь или в спам отправишь? Пусть народ полюбуется как должен выглядеть истинно русский как ты начиная с 5ой минуты..)))http://www.youtube.com/watch?v=hNau2_yi3DE  Вы бы еще сказали - мама украинка  а папа белорус! )))) Вы может считаете  что белорусы и малороссы - это нерусские? ))))  Через 50 лет  если жидовская власть и дальше будет править и делить наш народ на части  у твоих внуков спросят:  а если мама сибярячка  а папа казак  то что получается? . Если русский включай мозг и не ведись ни на какие -измы  секты и прочую шелупонь. А голос крови он намного сильнее всей этой жидовской лабуды;-2
то типичный подход -  мой магазин не ВДНХ а магазин  я содержу его не как выставку а как бизнес приносящий мне доход - если дохода не будет я магазин закрою  На месте конкурентов этой дамочки я бы повесил у себя большую табличку  мы не берем деньги 'за посмотреть'  в отличие от .На их месте вы бы разорились бы  то есть покупателям нефиг делать по-вашему  Она все продумала. С налогами там все Ок.  не переживайте  с этим в местной бухгалтерии все Ок. У нас у многих супермаркетов тележки получаешь в обмен на залог пары долларов - что бы потом по всему паркингу их не собирать.  Обычно это запрещено.В России  по крайней мере  штрафовать запрещено. Плюс - продавцы у нее (если у нее вообще есть продавцы)  уверен  обладают весьма специфическими знаниями  а-ля фармацевты в аптеке. Так что уйдут  новых не найдет;0
В несколько меньшем масштабе используются супермаховики.Это довольно таки обычный подход к проектированию сложных энергосистем. Аккумуляторы (бытовые) же это для анархии. Когда основная масса электричества вырабатывается личными солнечными батареями. Но т.к. производство солнечных батарей и наноаккумуляторов требует отнюдь не анархической степени организации  то и возникает вопрос  а при чем тут аккумуляторы?  спасибо  я в курсе. но насчёт архаики вы не правы. аккумуляторы действительно нужны и да  для личных целей  ибо для них нужны и собственно СБ. просто автор сего не поспешил разобраться в вопросе и решил для себя что СБ это некое супероружие которое переделит энергетический сектор. блаженны верующие  Ядерное и термоядерное лобби пока представлены одними и теми же лицами.;0
Конечно не в голосовании дело. А в понимании - кто коммунист  а кто закосил.   Ну да  где-то так.  Мы пожинаем плоды  работы  КПСС хрущевского и более позднего разлива  когда от имени Ленина покрывались самые идиотские и разрушительные действия. Люди стали совершенно безграмотны в понимании что есть коммунистическая партия. А теоретическая безграмотность - очень опасное явление.    Отличительной чертой коммунизма является не отмена собственности вообще  а отмена буржуазной собственности.     Но современная буржуазная частная собственность есть последнее и самое полное выражение такого производства и присвоения продуктов  которое держится на классовых антагонизмах  на эксплуатации одних другими.;-1
ак в лес нельзя.всё.запрещенновы что Васю Обломова не смотрели?наберите на ютубе  к лесу задом Васи Обломова   А запоры - в годах  чтоб звучало особенно трагично.  В литрах - это локальная микрофлуктуация фекально-энергетического поля.Настоящая вспышка - в мегатоннах!  )))  Классический противогаз с поглотителем не эффективен-дозу всё одно выхватишь а характерноного запаха не учуешь-даже тревоги не поднимешь.Всё по инструкции-стоит датчик(правда технологи утверждали что сработает он когда поздно будет).Был ещё моносилан-тот вообще один человек менял-остальные с.... (стеснялись)  В мегатоннах на оборот турбины.  Так надо ж заранее предупреждать  инкарнация))  А кем тогда руководить?  А что там за такое действие у моносилана? :)  В каком году это было?  а изолирующий слабо выдать?    Дык не было такого на заводе;-2
В Африке съели французского посла. Естественно  французской стороной была направлена нота протеста. Те извиняются: так уж получилось  что же делать  ну съешьте и вы нашего...  (с)  По-моему белорусские сыры вкуснее.Где там Онищенко? Блин  уверен там какаято хрень в голандских сырах.А если по серьезному  то нападение на посла - раз  гринпис под ихним флагом - два. Избиение посла это не метод. Такие недостраны давить надо чувствительно  а не по хулигански. А может это просто предупреждение? Подождем результатов.  Грамотный и правильный ответ в условиях разгула двойных стандартов  ласково называемых  демократией Чтобы всякие пидарасы не возомнили о себе слишком много!  Посмотрим  так в 0: 00 инфа только прошла   хы)))))))   2 августа 2005  10:56   |   ОбществоПольские скинхеды избили детей российских дипломатовЧитайте далее: http://izvestia.;-1
 меня только русскiе въ родн? Прад?дъ мой — самаринъ Если кто и вл?зъ ко мн? Такъ и тотъ — татаринъ.“Мишку Шифмана не трожь Съ Мишкой — прочь сомн?нiя:У иго ивреи сплошь —Въ третьемъ покол?нiи.Вонъ  д?дъ параличомъ разбитъ —Бывшiй врачъ-вредитель...А у меня — антисемитъ —На антисемит?.Мишка — врачъ  онъ вдругъ затихъ:Въ израил? бездна ихъ Тамъ гинекологовъ однихъ —Ну какъ собакъ нер?занныхъ И н?тъ зубнымъ врачамъ пути —Потому что слишкомъ много просятся.А гд? на вс?хъ зубовъ найти?Значитъ — безработица!Мишка мой кричитъ: „Къ чертямъ!Виза — или ванная!?демъ  Коля  — море тамъИзраилеванное!..“Видя Мишкину тоску(А онъ въ тоск? опасный) Я еще хлебнулъ кваскуИ сказалъ: „Согласный!“...Хвостъ огромный въ кибинетъИзъ людей  пожалуй  ста.Мишк? тамъ сказали „н?тъ“ Ну а мн? — „пожалуйста.“Онъ кричалъ: „Ошибка тутъ!Это я яврей!..“А ему говорятъ: „Не шибко тутъ!Выйди  вонъ  изъ дверей!“Мишку мучаетъ вопросъ:Кто зд?сь врагъ таинственный?А отв?тъ безумно простъ —И отв?тъ единственный.Я — въ порядк?  тьфу-тьфу-тьфу.Мишка пьетъ проклятую И говоритъ  что за графуНе пустили — пятую;0
Полицейские - упитанные хари  но силы у них хватает только на торговок и на демонстрантов.  Разгонять надо такую полицию. И делать нормальный институт шерифов.    У меня есть.Сотрудник полиции пострадал потому что до последнего пытался соблюсти наши законы  защищать которые он клялся.Если бы он думал только о своем здоровье  действия были бы другие.Посмотрите высокохудожественный фильм  Эквилибриум .Мысленно воспроизведите в памяти финальные схватки главного героя с другими клериками и главой Тетраграмматона.Потом мысленно добавьте вокруг дерущихся сто человек в радиусе 20 метров.;-1
ак что - да  считаю. собянин  не собянин - делается это при нем.   мм... а как же грандиозное  тройка! люби и катайся! ?  А что рельсы уже все починили? А 2010 году они были местами на 4-ку  местами на 3-ку.  вопрос просто в масштабах  делаемого  и приоритетах. пока приоритет - автомобили  вряд ли стоит рассчитывать сильное изменение подхода к общественному транспорту. было бы это в приоритете - за те же деньги можно было бы всё кардинально поменять. если захотеть  конечно. а так это просто подачи какие-то жалкие. хотя конечно на фоне других городов снг - и это хорошо типа  Ликсутов к этим планам по метро и жд имеет отношение чуть меньше чем никакое;-1
 спецслужбы утверждают  что он на Кавказе скрывается...Кому верить? :)Догадываетесь кто и зачем всю эту кашу заварил?  Можно прям целую резюме сделать. Ищутся смертники. График работы свободный  оплата - посмертно  Если коротко - не догадываюсь.  Даю подсказку.Настоящие террористы обычно выдвигают требования  после терракта берут ответственность на себя (организацию).Настоящие террористы в первую очередь атакуют представителей властных органов  силовые структуры или крупные группы людей в центре (столице).Липовые  под контролем спецслужб  террористы  атакуют обычных  рядовых людей.Ущерб стараются удерживать минимальным  периферийным.Потому  что их задача - нагнетание страха перед угрозой терроризма в рядах обывателей;0
159 ч.4по ней условного не бывает  давно надо было...  совершенно согласен  в ее и других действиях нет состава престпления...  спасибо  развернутый ответ.  ржунемогу...у меня тоже так...  спасибо за мнение..но дело в том  что наше мнение никто не учитывает  Пуська не законно сидит ни за что  а генеральша вообще не сидит за очень многое...  согласен на 146%...приговор обоснованный и справедливый...  поэтому я так и написал в комментарии.  первую жалко...  Мне нет. Ты бы совокуплялся в магазине с беременной женой и она бы сувала себе в пи...у курицу? Она больная на голову - вот пусть там и лечится ))  жестко...  Просто таких людей на воле оставлять опасно  когда они вытворяют такое. Кто знает  что завтра ей в голову взбредёт )  понятно...  спасибо...  спасибо...  ясные и четкие предложения  спасибо...  согласен с вами...  дело в том  что в их действиях нет состава преступления...Только административное правонарушение...  трудно не согласиться...  у меня критическое отношение ко руководителям всех мировых религий  думаю  что РПЦ  так же как и другие религии  ни в чем ...не замечены...Пусек поддерживаю потому  что уверен  что в их действиях начисто отсутствует состав уголовного наказания  они совершили административное правонарушение...  Ну тогда ты получается не Пусек поддерживаешь. А выступаешь против такого закона  методов его отправления и такой судебной власти вообще. Тут я могу с тобой встать как говориться в ряды плечом к плечу. Но разбирать этот вопрос на единичном примере Пусек не готов.;-1
е в курсе   что Япония точно не ведущая экономическая сила в мире .  Там все же ниже  чем в России этот процент  но может быть это и связано с солидным присутствием Японии в их экономике  но с другой стороны  они не знают Японимаю так близко  как страны Азии. Но не уверен.  а как ЕС может быть государством  что общего между Эстонией и Испанией?  CША - это всё-таки государство  с патриотичным населением  которое  к тому же  никогда не жило порознь. Преимущественно с одним языком  с одной историей  с общими ценностями.Ну и ситуация  при которой Германия содержит некоторые не вполне успешные страны  чтоб ЕС не развалился  не добавляет оптимизма.  не имеем теперь территориальных (и вообще никаких) споров с КитаемORLY? ridus.ru/news/42450/  Это включало тех  кто  не знает .  А что общего между чеченами и чукчами? Развал РФ грядет  или как?  Спасибо  не обратил внимание;0
И это не только в России.   Мощение - прикольно было бы :)Вместо водопоя - фантанчики с питьевой водой для людей и красоты. Почему нет?))Главное чтоб не хайтек запихнули в квартал этот.  Вообще-то это вопрос не столько к дворникам  сколько к мусоркам. Сложно организовать работу так  чтобы дворник имел возможность чистить мусорки 10 раз на день. Вообще-то и один раз - за счастье. Поэтому мусорка должна соответствовать объему мусора  который выкидывается  Между вами и Темой есть большая разница:- Он много чего добился в этой жизни- Он много путешествует- Он живет в Москве  а не в Финляндии и ежедневно видит происходящие при Собянине измененияСоответственно  он может делать выводы  в отличие от вас :)  Еще большего добились его мама и дедушка. Так что не надо нам тут...  Первобытные люди добились еще больше  чем мы. Но это не повод обсуждать их.;0
но вы зря превозносите японский уровень жизни. в северной корее  так же  очевидно  вы никогда не были  поскольку вместо анализа пусть не самого высокого уровня жизни  начинаете какой-то истеричный бред про  вся страна в униформе . вам следовало бы немножечко подробнее изучить историю войны (в том числе и деятельность благородных янки и просвещенных европейцев) а так же и современный быт этого государства.и чем торгуют японцы?.. у северной кореи товаров куда больше.  зачем нам сыр  есть вокруг этой кореи соседей и их пример мне важнее чем ваши домыслы и какие например товары может поставить страна? только не надо продавать себя)))  зачем себя? северная корея способна производить и производит  например  электроэнергию  которой так сильно не хватает почему-то их соседям в южной корее  которая будет востребована той же японией... не забываем лесозаготовительную область. государство ограничено из-за санкций в ряде металлов  что препятствует развитию машиностроительной области. если же северная корея получит возможность приобрести либо материалы  либо готовую сельскохозяйственную технику  то их посевные площади позволят обеспечить едой и саму северную корею  и южную  и сильно снизить цены на продукты в той же самой  например  японии  где процветает так называемое  вынужденное вегетарианство . так же  северная корея является важным поставщиком свинца и цинка  которые вынуждена продавать задарма китаю  который уже потом гонит их по куда большей цене на запад.если бы в северной корее было действительно так плохо  как кое-кто любит фантазировать  там уже и жить-то было бы некому.;-1
Правда  что-то продвижение этой идеи заглохло (по крайней мере - шума былого нет)  а этот господин теперь Правительством рулит. Ну  или думает  что рулит.  на равшана и братьев надо накатать телеги куда только можно.   а как на счет того  что вот например у нас прошлым летом эти  работяги  и  бизнесмены  вскрыли два стеклопакета и вытащили 500 тыс?[были привезены на отделку внешнюю-нас явно отследили и подслушали  хотя  сами понимаете  о такой сумме никто на весь коттеджный поселок не кричал.]И хоть бы что  естественно  никто ничего и никого не нашел.  Танцует …http://www.youtube.com/watch?v=HvEN85HUAJkНазвание ролика на ютубе:  Президент Таджикистана танцует . Далее без моих комментариев  а собственно  что можно комментировать  когда они рвались к власти  эти мелкие  царьки-баи  всех мастей  в незапамятных 90-ых  врали каждый своему народу  как они его осчастливят и не будут притеснять не этнических (будь-то не таджиков узбеков киргизов казахов  туркмен) граждан.;-1
А уж того  что нападали именно на девушку  никто и не утверждает даже  как я понимаю.С одной стороны - жертв нет  пострадавших нет  заявлений  порезов  - тоже нет. С другой стороны - человек  раненый пулями из травмата. Разделение хулиган/девушка - спекулятивно.  Вы видео с раскадровкой смотрели?  смотрел  Там зверек скорее татарский  но в целом нет разницы чей  хоть бы и русский - просто за русского следователь-татарин не стал бы так впрягаться и все вышло бы по закону.  а кстати  как?  нашел  Какие именно слова Александры вызывают у Вас недоверие?  Ну и по-поводу  нет порезов  - порезы как раз есть  также как и фото  на которых они демонстрируются. То  что следствие поверило Курбанову  что порезы мол.чел. сам себе на шею нанес - это просто еще одно доказательство его (следствия) предвзятости в этрм деле.;-1
До этого представители эксплуататорских классов в армии не служили  впрочем как и часть наций СССР  Всякие были особенно в артиллерии и тылах-штабах.Но основной состав - кубанцы.  Ну дыК: ...9-я пластунская дивизия  прогрохотав танками и самоходками... Пластуны и танки это интригует )  возможно в казачьей дивизии   национальный состав зависел от рода войсккавалерийские полки - могли быть почти полностью из казакова вот технари - артиллеристы  автомобили  связь - кто придется  Шили-шили и на свои тоже.:)  Именно так и штабные офицеры.Например одного лейтенанта чудом спавшегося после разгрома в 1942-м его укрепрпйона под Керчью тут-же заграбастала донская казачья часть и назначили сразу начштаба батальона.Потом учили на лошади ездить.:)  Не...у пластунов снабжение вещевым довольствием шло с Кубани (Кубань взяла шефство над пластунами) поэтому они были обеспечены казачьим обмундированием по полной программе.Подчинялись Ставке-элита войск!  Основа(сформирована)из кубанцев пополнение шло отовсюду поэтому такой  винегрет .   Лучше чем у  немцких казаков ?  Это бандиты какие-то.;0
Сам давно боюсь))  мой друг хирург на все вопросы из этого списка  не дослушав  отвечает:  Отрежем  какие проблемы!  - и постепенно к нему перестают приставать  Почти слово в слово  тоже самое думает о хирургах компьютерная тех-поддержка. Вот убрать или заменить некоторые специфические термины и будет готовый текст про компьютеры   люди везде одинаковые.  а от эт праильна!  Ой  классно!!! Даже свои мысли по этому поводу появились)))  Странно...Что раздражает  в госмедицине - не волнует в  частной))))  и формально будут правы  отказали же. то что разобраться с таким больным невозможно практически не е..т ни самого пациента  ни администрацию:)  ну я понял так все что не связанно с собственно процессом оперирования и лечения.  Во-во! Жутко бесит  если юзер на банальные вопросы:– какая тактовая частота процессора в твоем компе?– сколько метров весит рама?– название производителя мамки?– номер твоей аськи?– какой сервис-пак оси установлен?Элементарные же ж вопросы!Ан нет. 95% юзверей долго моргают ртом  широко разинув глаза.А ведь кажный божьий день трогают руками свой комп  причем  по двенадцать и более часов кряду.  не я так понял что собственно оперировать кадр не возражает. и все.;-1
Тебе не наебёшь  http://nauka21vek.ru/archives/52671 - всем хейтерам назло!  Исправь процент по Кебику  кстати.  не понимаешь ты своего счастья. тот кредит ты бы погашал. а карты ты не погашаешь - а только больше набираешь  Все глубже и глубже в долги. Потом из-за этого стресс  снижение работоспособности  снижение профессионализма  снижение дохода  кризис... Хватит писать про кредиты  пожалуйста  хехе  типа  когда много говно - получается пирог  вкусный=)  странно что Гений ожидает рефинанса под реальные 20%. Он вроде фрик  а не идиот. Банк видит что при нынешних 20-30% долг Гения не снижается  а только растет. Гарантий что Гений именно пееркредитуется - никаких.;-1
Этот закон играет на подлых чувствах  разжигая социальную ненависть. А все остальные рассуждения  о количестве вылитой воды  и налогах - это уже детали.   И в какой мере это словоблудие отменяет тот факт  что президент и дума в очередной раз использовали Конституцию в качестве пипифакса?Что-то меня меньше всего интересует как мне собираются подвязать колокольчик - легко и быстро или с  некоторыми трудностями .Хорошо наверное  проживая в евросоюзе и свободно по нему передвигаясь  ратовать за возвращение прописки (ну или  если хотите   регистрации  ( ...роза пахнет розой...  (с))?   Лев  понимаешь  я не скажу за Испанию- не знаю может там институт прописки и существует  хотя тоже сомнительно  но мои друзья  живущие в Германии  Канаде  Великобритании- подтверждают  что наличие такого института- сугубо советское  и по наследству российское изобретение  и  судя по тому что другие страны не торопятся перенимать столь ценный опыт  наверное не очень удачное. Я уже предвижу как сейчас хомячки завопят-  у нас нет прописки!!!  Ребята  от перемены названия суть не меняется. Переименовали советскую милицию в полицию- она как была советской милицией так и осталась. Только деньги потратили. Переименовали прописку в регистрацию- она как была пропиской так и осталась.;-1
Но это утопия) В законопослушной Европе курильщики сплошь нарушают. В ресторанах не курят - и уже спасибо  Сомневаюсь  что многие бросят  Да никак не отношусь. Закон принять не хитро - хитро обеспечить его выполнение. За курение в подъезде и сейчас можно привлечь к административной ответственности. Много привлеченных?Касательно курения в медучреждениях: одно лечим  другое - калечим. Если курильщик со стажем оказывается в стационаре  если ему предписан строгий больничный режим  он набегает себе перекурами за территорией больницы гарантированный летальный исход.  Те  кто придумывали этот закон  никогда или давно не были в регионах  в малонаселенных городах. Там  где здоровье улучшают не правильным питанием  спортзалом и отказом от курения  а самогоном собственного изготовления  махоркой  выращенной на своем огороде  и т.д. и т.п. И  кстати  подростки закуривают  потому что им запрещают это делать. В годы моего детства за курение могли и из комсомола попереть  например  в годы юности общественное порицание курящему подростку было такой силы  что по сю пору мои ровестники с сигареткой шифруются - вдруг кто увидит? И что? Думаете  мало было курящих подростков? Запретят курить законодательно - будут курить по принципу  Я крутой  я нарушаю закон и ме за это ничего не будет!  Мы ж в России живем  это ж надо учитывать  здесь неповиновение властям и законам уже черт знает сколько лет в тренде.;0
